brand,model,apparent power[VA],Real power[W],price[$]
ITC power,DG10000SE-T,10000,8000,2859
ITC power,DG10000SE,10000,8000,2690
zipper,ZI-STE6700DH,,4600,945
ITC power,6100XE,,5000,1070
ITC power,DG6000LE,,5000,1115
ITC power,DG7800LE,,6000,1215
kompak,6100XE,,5000,1248
ITC power,DG7800LET,,5400,1341
zipper,ZI-STE7500DSH,,5700,1209
ITC power,6100SE,,5000,1385
hyundai,DHY6000LEK,,5000,1400
ITC power,DG6000SE,,5000,1431
hyundai,DHY8500LEK,,6000,1500
kompak,8000LE-T,,6000,1539
black&decker,BXGND6300E,,6000,1800
kpc,KDG12EA3,12000,9600,3741
kpc,KDG12STA3,12000,9600,5369
ITC power,DG12000XSET,,9000,5120
ITC power,DG11KEm,,10000,5250
hyundai,DHY12000XSE-T,11400,9000,5400
ITC power,DG22KE,20000,16000,5580
kpc,KX16S,,12000,7885
ITC power,DG14KSE,,10000,6369
kompak,KPCTW-11L,,11000,6490
ITC power,DG16KSE,,12000,7050
kpc,KX20S3,,14000,7900
kompak,KPCTW-11Li,,11000,8000
genergy,GDS20T,20000,16000,8177
genergy,GDS27M,27000,21600,9874
hyundai,DHY22KSEm,,22000,9995
hyundai,DHY45KSE,40000,32000,12500
genergy,GDS70T,70000,56000,13000
ITC power,DG66KSE,60000,48000,13669
ITC power,DG110KSE,100000,80000,16889
kpc,KX130S3,120000,96000,17568
genergy,GDS200T,185000,148000,25700
ayerbe,AY-1500-200 TX,200000,160000,35800
ITC power,DG110KSE,,80000,16900
kpc,KX130S3,,100000,17500
ayerbe,5419517,50000,40000,17200
kompak,KPCTDW-110Li,110000,88000,17700
hyundai,DHY110KSE,,80000,19170
hyundai,DHY125KSE,,90000,21900
