brand,model,heating_capacity [kW],heating_capacity [W],Min COP,power_compressor [W],Price [$]
mitsubishi,PUD-SWM80YAA,6,6000,3.4,1764.70588235294,2600
mitsubishi,PUD-SWM100YAA,8,8000,3.4,2352.94117647059,3500
mitsubishi,PUD-SHWM80VAA,6,6000,3.4,1764.70588235294,3700
mitsubishi,PUD-SWM120YAA,10,10000,3.4,2941.17647058824,4000
mitsubishi,PUD-SHWM100YAA,8,8000,3.4,2352.94117647059,4400
mitsubishi,PUD-SHWM120YAA,10,10000,3.4,2941.17647058824,4700
haier,AU052FYCRA(HW),5,5000,3.4,1470.58823529412,2200
johnson,AURUM80M,8.3,8300,3.4,2441.17647058824,2700
johnson,AURUM100M,12,12000,3.4,3529.41176470588,3200
panasonic,WH-MDC05J3E5,5,5000,3.4,1470.58823529412,3400
haier,AU112FYCRA(HW),11,11000,3.4,3235.29411764706,3500
lg,HM071MR.U44,7,7000,3.4,2058.82352941177,3500
johnson,AURUM-AT90M,9,9000,3.4,2647.05882352941,3700
johnson,AURUM160M,16,16000,3.4,4705.88235294118,3900
panasonic,WH-MDC07J3E5,7,7000,3.4,2058.82352941177,3900
lg,HM051MR.U44,5.5,5500,3.4,1617.64705882353,4000
lg,HM091MR.U44,9,9000,3.4,2647.05882352941,4100
panasonic,WH-MDC09J3E5,9,9000,3.4,2647.05882352941,5000
lg,HM121MR.U34,12,12000,3.4,3529.41176470588,5200
panasonic,WH-MDC12H6E5,12,12000,3.4,3529.41176470588,5400
lg,HM123MR.U34,12,12000,3.4,3529.41176470588,5400
lg,HM141MR.U34,14,14000,3.4,4117.64705882353,5700
daikin,EBLA09D3V3,9.3,9300,3.4,2735.29411764706,6000
lg,HM143MR.U34,14,14000,3.4,4117.64705882353,6200
lg,HM161MR.U34,16,16000,3.4,4705.88235294118,6500
daikin,EBLA11D3V3,11.6,11600,3.4,3411.76470588235,6600
panasonic,WH-MDC16H6E5,16,16000,3.4,4705.88235294118,6624
lg,HM163MR.U34,16,16000,3.4,4705.88235294118,6840
daikin,EBLA14D3V3,12,12000,3.4,3529.41176470588,7300
daikin,EBLA16D3V3,16,16000,3.4,4705.88235294118,8200
johnson,AURUM200T,20,20000,3.4,5882.35294117647,5600
lg,HM121HF.UB60,12,12000,3.4,3529.41176470588,7500
daikin,EKHBRD016ADY17,16,16000,3.4,4705.88235294118,14000
daikin,EKHBRD011ADV17,11,11000,3.4,3235.29411764706,10700
daikin,EKHBRD011ADY17,11,11000,3.4,3235.29411764706,11600
daikin,EKHBRD016ADV17,16,16000,3.4,4705.88235294118,13000
daikin,EKHBRD014ADV17,14,14000,3.4,4117.64705882353,11900
