"Time stamp","System power generated | (kW)"
"Jan 1, 12:00 am",0
"Jan 1, 12:15 am",0
"Jan 1, 12:30 am",0
"Jan 1, 12:45 am",0
"Jan 1, 01:00 am",0
"Jan 1, 01:15 am",0
"Jan 1, 01:30 am",0
"Jan 1, 01:45 am",0
"Jan 1, 02:00 am",0
"Jan 1, 02:15 am",0
"Jan 1, 02:30 am",0
"Jan 1, 02:45 am",0
"Jan 1, 03:00 am",0
"Jan 1, 03:15 am",0
"Jan 1, 03:30 am",0
"Jan 1, 03:45 am",0
"Jan 1, 04:00 am",0
"Jan 1, 04:15 am",0
"Jan 1, 04:30 am",0
"Jan 1, 04:45 am",0
"Jan 1, 05:00 am",0
"Jan 1, 05:15 am",0
"Jan 1, 05:30 am",0
"Jan 1, 05:45 am",0
"Jan 1, 06:00 am",0
"Jan 1, 06:15 am",0
"Jan 1, 06:30 am",0
"Jan 1, 06:45 am",0
"Jan 1, 07:00 am",0
"Jan 1, 07:15 am",0
"Jan 1, 07:30 am",0
"Jan 1, 07:45 am",0
"Jan 1, 08:00 am",0
"Jan 1, 08:15 am",0
"Jan 1, 08:30 am",0
"Jan 1, 08:45 am",-0
"Jan 1, 09:00 am",0.0101025
"Jan 1, 09:15 am",0.0138765
"Jan 1, 09:30 am",0.0230181
"Jan 1, 09:45 am",0.0900262
"Jan 1, 10:00 am",0.123792
"Jan 1, 10:15 am",0.157825
"Jan 1, 10:30 am",0.191553
"Jan 1, 10:45 am",0.222766
"Jan 1, 11:00 am",0.252144
"Jan 1, 11:15 am",0.278018
"Jan 1, 11:30 am",0.301483
"Jan 1, 11:45 am",0.320785
"Jan 1, 12:00 pm",0.336958
"Jan 1, 12:15 pm",0.350995
"Jan 1, 12:30 pm",0.363012
"Jan 1, 12:45 pm",0.372848
"Jan 1, 01:00 pm",0.378954
"Jan 1, 01:15 pm",0.380701
"Jan 1, 01:30 pm",0.380386
"Jan 1, 01:45 pm",0.375999
"Jan 1, 02:00 pm",0.368686
"Jan 1, 02:15 pm",0.358845
